customer_id,name,segment,age,region,branch,join_date
CUST0046,Customer 46,Student,21,North,Hamburg-Nord,2017-10-12
CUST0047,Customer 47,Business,58,Central,Stuttgart,2020-10-18
CUST0048,Customer 48,Premium,43,West,Dusseldorf,2016-10-02
CUST0049,Customer 49,Premium,26,East,Berlin-East,2014-02-17
CUST0050,Customer 50,Premium,44,West,Dusseldorf,2019-02-12
CUST0051,Customer 51,Student,35,South,Augsburg,2014-01-27
CUST0052,Customer 52,Student,29,West,Frankfurt,2014-11-26
CUST0053,Customer 53,Premium,60,West,Cologne-City,2015-12-17
CUST0054,Customer 54,Retail,47,South,Munich-Mitte,2018-03-23
CUST0055,Customer 55,Business,22,West,Frankfurt,2021-11-16
CUST0056,Customer 56,Business,61,Central,Mannheim,2021-10-14
CUST0057,Customer 57,Student,38,Central,Nuremberg,2020-01-23
CUST0058,Customer 58,Retail,55,South,Munich-South,2021-07-07
CUST0059,Customer 59,Premium,39,North,Bremen-City,2018-08-24
CUST0060,Customer 60,Student,71,South,Munich-Mitte,2014-02-14
CUST0061,Customer 61,Premium,32,West,Cologne-City,2016-06-26
CUST0062,Customer 62,Business,35,South,Augsburg,2017-10-29
CUST0063,Customer 63,Premium,53,North,Bremen-City,2019-12-22
CUST0064,Customer 64,Retail,59,East,Dresden,2014-04-27
CUST0065,Customer 65,Premium,64,North,Hamburg-Mitte,2020-03-27
CUST0066,Customer 66,Retail,23,Central,Mannheim,2014-09-02
CUST0067,Customer 67,Business,28,West,Frankfurt,2019-04-29
CUST0068,Customer 68,Premium,56,Central,Nuremberg,2021-04-30
CUST0069,Customer 69,Student,69,East,Berlin-Mitte,2018-06-22
CUST0070,Customer 70,Retail,65,South,Munich-Mitte,2016-05-09
CUST0071,Customer 71,Retail,64,Central,Stuttgart,2017-09-11
CUST0072,Customer 72,Premium,68,North,Bremen-City,2016-12-10
CUST0073,Customer 73,Retail,73,Central,Stuttgart,2020-01-21
CUST0074,Customer 74,Business,41,West,Dusseldorf,2015-04-25
CUST0075,Customer 75,Student,55,North,Hamburg-Mitte,2018-07-20
CUST0076,Customer 76,Retail,26,South,Munich-South,2015-09-08
CUST0077,Customer 77,Retail,36,East,Berlin-East,2017-02-15
CUST0078,Customer 78,Business,20,North,Hamburg-Mitte,2015-02-13
CUST0079,Customer 79,Business,72,East,Dresden,2018-04-03
CUST0080,Customer 80,Business,42,North,Bremen-City,2019-05-19
CUST0081,Customer 81,Retail,27,Central,Nuremberg,2017-06-10
CUST0082,Customer 82,Premium,50,West,Cologne-City,2016-01-17
CUST0083,Customer 83,Premium,21,West,Cologne-City,2014-08-28
CUST0084,Customer 84,Retail,28,East,Berlin-East,2021-11-15
CUST0085,Customer 85,Premium,19,Central,Stuttgart,2019-11-27
CUST0086,Customer 86,Business,21,East,Berlin-Mitte,2015-06-03
CUST0087,Customer 87,Retail,27,West,Frankfurt,2021-07-10
CUST0088,Customer 88,Student,43,Central,Stuttgart,2020-01-24
CUST0089,Customer 89,Business,32,Central,Nuremberg,2020-06-09
CUST0090,Customer 90,Retail,57,West,Dusseldorf,2016-04-16
CUST0091,Customer 91,Student,32,South,Munich-Mitte,2013-11-24
CUST0092,Customer 92,Premium,45,North,Hamburg-Mitte,2020-05-30
CUST0093,Customer 93,Premium,65,West,Cologne-City,2014-03-23
CUST0094,Customer 94,Retail,28,East,Berlin-Mitte,2019-03-23
CUST0095,Customer 95,Student,32,Central,Nuremberg,2016-01-16
CUST0096,Customer 96,Premium,22,Central,Nuremberg,2018-04-15
CUST0097,Customer 97,Student,39,Central,Stuttgart,2020-10-31
CUST0098,Customer 98,Student,20,North,Hamburg-Mitte,2018-05-21
CUST0099,Customer 99,Business,21,South,Munich-Mitte,2018-11-30
CUST0100,Customer 100,Business,18,East,Berlin-Mitte,2017-10-31
CUST0101,Customer 101,Business,28,North,Hamburg-Nord,2020-04-29
CUST0102,Customer 102,Business,51,East,Berlin-Mitte,2016-11-05
CUST0103,Customer 103,Business,19,North,Hamburg-Mitte,2020-05-03
CUST0104,Customer 104,Student,23,Central,Stuttgart,2017-11-24
CUST0105,Customer 105,Student,74,East,Berlin-Mitte,2015-11-20
CUST0106,Customer 106,Retail,67,South,Munich-Mitte,2021-08-06
CUST0107,Customer 107,Premium,31,South,Munich-South,2014-12-17
CUST0108,Customer 108,Retail,66,East,Dresden,2021-11-29
CUST0109,Customer 109,Student,25,West,Cologne-City,2014-03-01
CUST0110,Customer 110,Student,49,East,Dresden,2017-09-15
CUST0111,Customer 111,Business,75,Central,Nuremberg,2013-12-08
CUST0112,Customer 112,Retail,69,East,Berlin-East,2015-12-19
CUST0113,Customer 113,Retail,22,South,Munich-Mitte,2018-12-05
CUST0114,Customer 114,Retail,57,East,Berlin-East,2018-06-25
CUST0115,Customer 115,Premium,57,Central,Stuttgart,2016-12-17
CUST0116,Customer 116,Retail,51,West,Frankfurt,2018-12-26
CUST0117,Customer 117,Student,67,North,Hamburg-Mitte,2021-09-21
CUST0118,Customer 118,Student,49,East,Berlin-East,2018-04-28
CUST0119,Customer 119,Retail,33,Central,Nuremberg,2017-06-15
CUST0120,Customer 120,Business,22,South,Munich-South,2016-06-04
CUST0121,Customer 121,Retail,56,East,Dresden,2021-09-12
CUST0122,Customer 122,Retail,54,North,Bremen-City,2020-06-19
CUST0123,Customer 123,Student,30,West,Frankfurt,2014-07-19
CUST0124,Customer 124,Retail,55,Central,Stuttgart,2020-07-23
CUST0125,Customer 125,Premium,31,East,Dresden,2014-09-28
CUST0126,Customer 126,Student,18,North,Hamburg-Nord,2019-11-13
CUST0127,Customer 127,Business,70,South,Munich-Mitte,2014-01-03
CUST0128,Customer 128,Business,24,West,Cologne-City,2017-03-24
CUST0129,Customer 129,Retail,58,West,Cologne-City,2018-11-27
CUST0130,Customer 130,Business,37,Central,Mannheim,2020-02-23
CUST0131,Customer 131,Retail,64,East,Berlin-Mitte,2015-02-20
CUST0132,Customer 132,Student,34,North,Hamburg-Nord,2020-06-24
CUST0133,Customer 133,Student,56,East,Berlin-Mitte,2016-04-18
CUST0134,Customer 134,Student,71,East,Berlin-East,2016-04-24
CUST0135,Customer 135,Premium,58,East,Berlin-East,2018-09-29
CUST0136,Customer 136,Business,30,South,Augsburg,2020-06-23
CUST0137,Customer 137,Business,32,Central,Mannheim,2016-02-19
CUST0138,Customer 138,Student,32,North,Hamburg-Mitte,2015-07-01
CUST0139,Customer 139,Student,39,North,Bremen-City,2020-12-30
CUST0140,Customer 140,Retail,45,North,Hamburg-Nord,2016-10-14
CUST0141,Customer 141,Retail,23,North,Hamburg-Mitte,2020-12-07
CUST0142,Customer 142,Premium,37,South,Munich-Mitte,2020-04-11
CUST0143,Customer 143,Business,63,East,Berlin-Mitte,2015-09-12
CUST0144,Customer 144,Retail,23,South,Munich-South,2021-08-22
CUST0145,Customer 145,Student,37,South,Munich-South,2016-04-08
CUST0146,Customer 146,Business,46,North,Hamburg-Nord,2015-11-03
CUST0147,Customer 147,Premium,40,Central,Nuremberg,2020-06-15
CUST0148,Customer 148,Business,62,North,Bremen-City,2015-09-19
CUST0149,Customer 149,Premium,72,South,Augsburg,2016-01-21
CUST0150,Customer 150,Student,45,Central,Stuttgart,2015-02-25
CUST0151,Customer 151,Premium,53,East,Dresden,2016-02-11
CUST0152,Customer 152,Retail,37,Central,Stuttgart,2015-02-16
CUST0153,Customer 153,Premium,40,Central,Stuttgart,2017-01-11
CUST0154,Customer 154,Business,22,North,Bremen-City,2015-08-31
CUST0155,Customer 155,Business,71,East,Berlin-Mitte,2015-09-18
CUST0156,Customer 156,Retail,62,East,Dresden,2015-10-06
CUST0157,Customer 157,Business,20,East,Berlin-East,2019-09-11
CUST0158,Customer 158,Premium,20,South,Augsburg,2020-11-19
CUST0159,Customer 159,Student,43,West,Frankfurt,2015-10-24
CUST0160,Customer 160,Student,41,West,Dusseldorf,2020-09-28
CUST0161,Customer 161,Business,67,South,Munich-Mitte,2021-03-19
CUST0162,Customer 162,Retail,61,East,Berlin-Mitte,2017-10-18
CUST0163,Customer 163,Premium,38,West,Frankfurt,2020-07-12
CUST0164,Customer 164,Business,60,Central,Nuremberg,2017-05-07
CUST0165,Customer 165,Premium,26,South,Munich-South,2014-01-20
CUST0166,Customer 166,Business,53,North,Hamburg-Mitte,2019-02-25
CUST0167,Customer 167,Premium,51,West,Dusseldorf,2018-07-09
CUST0168,Customer 168,Student,65,West,Cologne-City,2018-01-17
CUST0169,Customer 169,Student,75,North,Hamburg-Mitte,2016-07-23
CUST0170,Customer 170,Business,49,North,Hamburg-Mitte,2016-03-25
CUST0171,Customer 171,Student,26,North,Hamburg-Mitte,2017-12-09
CUST0172,Customer 172,Business,26,Central,Mannheim,2015-12-01
CUST0173,Customer 173,Retail,22,North,Hamburg-Mitte,2013-10-19
CUST0174,Customer 174,Premium,46,North,Bremen-City,2016-01-14
CUST0175,Customer 175,Retail,49,West,Cologne-City,2021-06-03
CUST0176,Customer 176,Premium,32,Central,Mannheim,2017-01-30
CUST0177,Customer 177,Premium,74,South,Augsburg,2016-10-15
CUST0178,Customer 178,Retail,71,East,Dresden,2021-07-22
CUST0179,Customer 179,Retail,21,East,Dresden,2019-02-16
CUST0180,Customer 180,Business,43,Central,Nuremberg,2020-05-24
CUST0181,Customer 181,Business,54,East,Dresden,2020-03-30
CUST0182,Customer 182,Business,68,North,Bremen-City,2017-09-27
CUST0183,Customer 183,Premium,71,Central,Mannheim,2017-04-08
CUST0184,Customer 184,Business,29,East,Berlin-East,2021-01-11
CUST0185,Customer 185,Student,63,West,Frankfurt,2019-01-01
CUST0186,Customer 186,Student,37,Central,Stuttgart,2015-09-05
CUST0187,Customer 187,Retail,67,South,Augsburg,2019-02-12
CUST0188,Customer 188,Retail,29,South,Munich-Mitte,2015-12-29
CUST0189,Customer 189,Business,37,South,Munich-South,2017-07-05
CUST0190,Customer 190,Premium,43,East,Berlin-East,2017-09-20
CUST0191,Customer 191,Premium,18,South,Augsburg,2016-09-20
CUST0192,Customer 192,Student,35,West,Frankfurt,2018-05-08
CUST0193,Customer 193,Premium,38,South,Augsburg,2015-01-01
CUST0194,Customer 194,Student,50,North,Bremen-City,2014-06-06
CUST0195,Customer 195,Student,27,Central,Stuttgart,2016-04-24
CUST0196,Customer 196,Student,68,North,Hamburg-Nord,2017-03-04
CUST0197,Customer 197,Business,38,Central,Stuttgart,2014-01-10
CUST0198,Customer 198,Premium,23,North,Bremen-City,2019-02-23
CUST0199,Customer 199,Premium,28,West,Frankfurt,2017-05-08
CUST0200,Customer 200,Retail,39,South,Munich-Mitte,2021-04-03
CUST0201,Customer 201,Student,23,North,Hamburg-Nord,2019-07-05
CUST0202,Customer 202,Business,46,East,Dresden,2021-11-04
CUST0203,Customer 203,Student,59,South,Augsburg,2014-09-12
CUST0204,Customer 204,Business,38,West,Frankfurt,2020-01-12
CUST0205,Customer 205,Student,27,Central,Mannheim,2017-09-21
CUST0206,Customer 206,Student,48,South,Munich-South,2019-11-13
CUST0207,Customer 207,Student,61,West,Frankfurt,2015-03-29
CUST0208,Customer 208,Student,52,East,Dresden,2016-09-19
CUST0209,Customer 209,Retail,48,North,Bremen-City,2016-10-28
CUST0210,Customer 210,Business,25,South,Munich-South,2021-10-16
CUST0211,Customer 211,Business,45,West,Cologne-City,2019-09-24
CUST0212,Customer 212,Retail,74,South,Augsburg,2017-02-07
CUST0213,Customer 213,Retail,66,Central,Stuttgart,2020-07-03
CUST0214,Customer 214,Premium,65,Central,Stuttgart,2019-06-13
CUST0215,Customer 215,Business,19,East,Dresden,2021-03-31
CUST0216,Customer 216,Premium,67,North,Hamburg-Mitte,2019-10-06
CUST0217,Customer 217,Premium,56,South,Munich-Mitte,2016-02-15
CUST0218,Customer 218,Student,29,North,Hamburg-Nord,2016-07-31
CUST0219,Customer 219,Business,71,East,Berlin-East,2018-02-18
CUST0220,Customer 220,Retail,36,South,Augsburg,2016-11-08
CUST0221,Customer 221,Retail,28,North,Hamburg-Mitte,2017-06-08
CUST0222,Customer 222,Business,67,East,Berlin-East,2019-11-01
CUST0223,Customer 223,Business,39,West,Frankfurt,2016-07-15
CUST0224,Customer 224,Student,18,West,Cologne-City,2019-01-23
CUST0225,Customer 225,Retail,56,Central,Nuremberg,2020-09-16
CUST0226,Customer 226,Business,45,North,Bremen-City,2014-01-07
CUST0227,Customer 227,Business,29,North,Hamburg-Nord,2017-10-28
CUST0228,Customer 228,Business,39,Central,Nuremberg,2018-12-12
CUST0229,Customer 229,Premium,28,West,Frankfurt,2018-06-17
CUST0230,Customer 230,Retail,23,Central,Mannheim,2016-07-08
CUST0231,Customer 231,Retail,68,North,Bremen-City,2019-08-27
CUST0232,Customer 232,Student,40,North,Hamburg-Nord,2019-06-12
CUST0233,Customer 233,Premium,21,South,Augsburg,2019-02-08
CUST0234,Customer 234,Premium,43,Central,Mannheim,2021-11-03
CUST0235,Customer 235,Premium,38,East,Berlin-East,2018-11-28
CUST0236,Customer 236,Premium,65,West,Cologne-City,2013-12-16
CUST0237,Customer 237,Retail,68,Central,Mannheim,2021-03-24
CUST0238,Customer 238,Business,20,South,Munich-South,2016-08-28
CUST0239,Customer 239,Premium,21,South,Munich-South,2014-08-15
CUST0240,Customer 240,Business,55,East,Berlin-Mitte,2018-05-22
CUST0241,Customer 241,Premium,21,South,Munich-South,2017-01-30
CUST0242,Customer 242,Retail,70,North,Bremen-City,2019-12-13
CUST0243,Customer 243,Premium,58,North,Hamburg-Nord,2016-06-06
CUST0244,Customer 244,Premium,41,West,Frankfurt,2019-04-24
CUST0245,Customer 245,Student,45,South,Munich-South,2017-04-02
CUST0246,Customer 246,Premium,46,South,Munich-South,2016-02-08
CUST0247,Customer 247,Premium,63,North,Hamburg-Nord,2016-09-06
CUST0248,Customer 248,Retail,24,South,Munich-Mitte,2021-07-27
CUST0249,Customer 249,Student,35,South,Munich-Mitte,2021-02-16
CUST0250,Customer 250,Retail,28,North,Hamburg-Mitte,2020-12-09
CUST0251,Customer 251,Retail,22,North,Hamburg-Mitte,2021-09-16
CUST0252,Customer 252,Business,69,East,Berlin-East,2019-12-20
CUST0253,Customer 253,Retail,42,West,Dusseldorf,2019-11-27
CUST0254,Customer 254,Student,30,West,Dusseldorf,2021-01-24
CUST0255,Customer 255,Business,29,East,Dresden,2018-06-23
CUST0256,Customer 256,Premium,20,Central,Mannheim,2019-09-03
CUST0257,Customer 257,Business,50,North,Bremen-City,2014-08-12
CUST0258,Customer 258,Student,57,South,Munich-Mitte,2018-11-23
CUST0259,Customer 259,Premium,44,Central,Stuttgart,2021-07-17
CUST0260,Customer 260,Retail,48,South,Munich-Mitte,2019-08-29
CUST0261,Customer 261,Student,28,South,Munich-Mitte,2015-04-30
CUST0262,Customer 262,Premium,23,East,Berlin-Mitte,2016-02-13
CUST0263,Customer 263,Student,19,Central,Mannheim,2015-02-06
CUST0264,Customer 264,Business,57,West,Frankfurt,2015-06-13
CUST0265,Customer 265,Student,51,East,Berlin-Mitte,2015-08-24
CUST0266,Customer 266,Business,52,West,Dusseldorf,2019-03-05
CUST0267,Customer 267,Retail,56,Central,Stuttgart,2021-02-26
CUST0268,Customer 268,Premium,28,North,Bremen-City,2020-07-07
CUST0269,Customer 269,Student,55,Central,Mannheim,2018-08-28
CUST0270,Customer 270,Student,36,North,Hamburg-Mitte,2014-05-25
CUST0271,Customer 271,Retail,74,East,Berlin-Mitte,2015-03-11
CUST0272,Customer 272,Business,66,South,Munich-South,2020-06-07
CUST0273,Customer 273,Student,58,South,Munich-South,2015-07-18
CUST0274,Customer 274,Business,28,West,Dusseldorf,2014-05-15
CUST0275,Customer 275,Business,31,South,Munich-South,2019-06-07
CUST0276,Customer 276,Retail,50,Central,Mannheim,2016-07-05
CUST0277,Customer 277,Student,26,Central,Nuremberg,2014-08-27
CUST0278,Customer 278,Premium,47,East,Berlin-Mitte,2014-12-10
CUST0279,Customer 279,Retail,66,East,Dresden,2016-10-08
CUST0280,Customer 280,Business,19,East,Berlin-Mitte,2017-09-03
CUST0281,Customer 281,Business,57,South,Augsburg,2020-11-28
CUST0282,Customer 282,Premium,42,South,Augsburg,2017-10-01
CUST0283,Customer 283,Retail,27,South,Augsburg,2020-10-07
CUST0284,Customer 284,Student,24,West,Dusseldorf,2014-06-19
CUST0285,Customer 285,Student,43,Central,Stuttgart,2015-01-20
CUST0286,Customer 286,Business,47,North,Hamburg-Mitte,2018-01-20
CUST0287,Customer 287,Retail,24,East,Dresden,2020-08-01
CUST0288,Customer 288,Premium,65,South,Augsburg,2018-09-24
CUST0289,Customer 289,Premium,31,Central,Mannheim,2016-07-27
CUST0290,Customer 290,Premium,37,North,Hamburg-Nord,2014-06-02
CUST0291,Customer 291,Business,71,West,Frankfurt,2021-04-13
CUST0292,Customer 292,Retail,31,South,Munich-Mitte,2017-08-23
CUST0293,Customer 293,Student,52,South,Augsburg,2014-12-05
CUST0294,Customer 294,Student,31,South,Munich-South,2020-09-23
CUST0295,Customer 295,Retail,74,North,Hamburg-Nord,2016-06-12
CUST0296,Customer 296,Retail,32,South,Munich-Mitte,2017-06-11
CUST0297,Customer 297,Business,50,South,Munich-South,2019-09-09
CUST0298,Customer 298,Business,68,Central,Mannheim,2017-01-29
CUST0299,Customer 299,Business,56,Central,Mannheim,2020-01-03
CUST0300,Customer 300,Premium,26,West,Cologne-City,2017-05-06
CUST0301,Customer 301,Business,48,West,Dusseldorf,2014-02-18
CUST0302,Customer 302,Retail,40,West,Frankfurt,2016-02-24
CUST0303,Customer 303,Student,31,North,Bremen-City,2014-04-27
CUST0304,Customer 304,Student,19,Central,Mannheim,2017-02-18
CUST0305,Customer 305,Premium,21,Central,Stuttgart,2016-12-19
CUST0306,Customer 306,Student,73,Central,Nuremberg,2021-09-18
CUST0307,Customer 307,Retail,32,South,Munich-Mitte,2015-12-12
CUST0308,Customer 308,Premium,28,West,Frankfurt,2019-05-29
CUST0309,Customer 309,Business,42,East,Dresden,2021-03-17
CUST0310,Customer 310,Student,67,Central,Stuttgart,2019-09-14
CUST0311,Customer 311,Student,53,West,Frankfurt,2020-06-01
CUST0312,Customer 312,Business,75,North,Bremen-City,2018-04-28
CUST0313,Customer 313,Business,35,South,Munich-Mitte,2019-02-27
CUST0314,Customer 314,Student,36,West,Dusseldorf,2014-12-03
CUST0315,Customer 315,Premium,68,West,Cologne-City,2021-02-03
CUST0316,Customer 316,Retail,50,Central,Mannheim,2018-05-12
CUST0317,Customer 317,Business,70,Central,Nuremberg,2021-07-07
CUST0318,Customer 318,Premium,48,North,Hamburg-Mitte,2018-09-10
CUST0319,Customer 319,Retail,39,West,Cologne-City,2014-05-23
CUST0320,Customer 320,Student,54,East,Dresden,2015-06-02
CUST0321,Customer 321,Student,64,Central,Stuttgart,2019-08-29
CUST0322,Customer 322,Retail,73,Central,Nuremberg,2015-12-23
CUST0323,Customer 323,Premium,31,South,Augsburg,2016-08-04
CUST0324,Customer 324,Student,25,East,Dresden,2020-09-08
CUST0325,Customer 325,Premium,63,West,Cologne-City,2015-12-30
CUST0326,Customer 326,Premium,43,South,Munich-Mitte,2019-01-27
CUST0327,Customer 327,Premium,58,South,Munich-Mitte,2019-01-13
CUST0328,Customer 328,Student,40,East,Berlin-Mitte,2017-08-19
CUST0329,Customer 329,Business,54,West,Cologne-City,2016-02-18
CUST0330,Customer 330,Retail,75,West,Frankfurt,2017-10-09
CUST0331,Customer 331,Premium,59,South,Munich-South,2021-10-18
CUST0332,Customer 332,Premium,68,North,Hamburg-Nord,2016-03-03
CUST0333,Customer 333,Student,39,North,Hamburg-Nord,2013-11-09
CUST0334,Customer 334,Premium,73,East,Dresden,2021-03-02
CUST0335,Customer 335,Premium,54,East,Dresden,2020-05-03
CUST0336,Customer 336,Retail,69,North,Bremen-City,2017-12-21
CUST0337,Customer 337,Business,20,West,Frankfurt,2018-09-05
CUST0338,Customer 338,Retail,27,East,Berlin-Mitte,2014-07-24
CUST0339,Customer 339,Retail,36,North,Bremen-City,2020-12-23
CUST0340,Customer 340,Student,73,Central,Mannheim,2020-09-26
CUST0341,Customer 341,Retail,50,East,Berlin-East,2019-06-03
CUST0342,Customer 342,Premium,65,South,Munich-South,2014-03-21
CUST0343,Customer 343,Business,38,North,Hamburg-Nord,2021-02-13
CUST0344,Customer 344,Student,74,South,Augsburg,2019-10-29
CUST0345,Customer 345,Business,59,East,Berlin-East,2014-11-12
CUST0346,Customer 346,Retail,56,North,Hamburg-Mitte,2015-02-15
CUST0347,Customer 347,Premium,22,North,Hamburg-Nord,2016-03-08
CUST0348,Customer 348,Premium,51,West,Frankfurt,2014-10-10
CUST0349,Customer 349,Student,63,West,Cologne-City,2019-09-15
CUST0350,Customer 350,Business,56,West,Dusseldorf,2016-11-19
CUST0351,Customer 351,Retail,18,North,Hamburg-Nord,2017-07-03
CUST0352,Customer 352,Premium,74,East,Berlin-East,2018-07-05
CUST0353,Customer 353,Premium,75,North,Bremen-City,2021-05-05
CUST0354,Customer 354,Business,38,North,Bremen-City,2019-09-25
CUST0355,Customer 355,Student,32,South,Munich-Mitte,2019-07-28
CUST0356,Customer 356,Retail,55,North,Bremen-City,2021-11-19
CUST0357,Customer 357,Student,19,East,Berlin-East,2019-01-08
CUST0358,Customer 358,Premium,30,East,Berlin-East,2019-02-21
CUST0359,Customer 359,Premium,35,Central,Stuttgart,2018-02-23
CUST0360,Customer 360,Retail,18,North,Hamburg-Mitte,2015-02-03
CUST0361,Customer 361,Student,21,Central,Stuttgart,2019-05-31
CUST0362,Customer 362,Retail,54,Central,Mannheim,2013-11-27
CUST0363,Customer 363,Student,40,South,Augsburg,2017-05-07
CUST0364,Customer 364,Student,34,South,Munich-Mitte,2016-11-23
CUST0365,Customer 365,Student,42,East,Berlin-East,2018-01-04
CUST0366,Customer 366,Premium,72,West,Frankfurt,2016-06-17
CUST0367,Customer 367,Business,26,Central,Stuttgart,2015-06-06
CUST0368,Customer 368,Business,44,Central,Nuremberg,2016-01-26
CUST0369,Customer 369,Business,37,East,Berlin-East,2019-08-24
CUST0370,Customer 370,Business,29,East,Berlin-Mitte,2018-08-02
CUST0371,Customer 371,Student,36,North,Bremen-City,2015-05-13
CUST0372,Customer 372,Student,67,South,Munich-Mitte,2017-06-04
CUST0373,Customer 373,Retail,43,South,Munich-South,2015-04-05
CUST0374,Customer 374,Retail,32,West,Cologne-City,2015-08-14
CUST0375,Customer 375,Premium,55,West,Cologne-City,2020-09-20
CUST0376,Customer 376,Student,38,North,Bremen-City,2019-04-29
CUST0377,Customer 377,Premium,37,Central,Mannheim,2019-01-06
CUST0378,Customer 378,Student,55,East,Berlin-Mitte,2020-10-29
CUST0379,Customer 379,Premium,47,North,Hamburg-Mitte,2015-09-15
CUST0380,Customer 380,Retail,60,South,Munich-Mitte,2015-09-15
CUST0381,Customer 381,Premium,73,Central,Mannheim,2018-01-20
CUST0382,Customer 382,Premium,36,South,Munich-Mitte,2017-10-21
CUST0383,Customer 383,Retail,34,East,Berlin-Mitte,2019-09-29
CUST0384,Customer 384,Business,41,Central,Nuremberg,2014-11-28
CUST0385,Customer 385,Business,38,South,Munich-South,2018-11-24
CUST0386,Customer 386,Student,23,Central,Mannheim,2020-11-11
CUST0387,Customer 387,Retail,57,East,Berlin-East,2015-08-30
CUST0388,Customer 388,Business,71,North,Hamburg-Mitte,2019-11-07
CUST0389,Customer 389,Business,47,West,Cologne-City,2017-06-12
CUST0390,Customer 390,Student,48,South,Munich-South,2018-04-29
CUST0391,Customer 391,Student,57,West,Cologne-City,2015-05-03
CUST0392,Customer 392,Retail,34,West,Cologne-City,2015-05-18
CUST0393,Customer 393,Business,49,South,Munich-Mitte,2016-12-10
CUST0394,Customer 394,Retail,42,Central,Stuttgart,2015-03-26
CUST0395,Customer 395,Retail,20,East,Berlin-Mitte,2015-06-03
CUST0396,Customer 396,Student,21,North,Hamburg-Nord,2018-06-14
CUST0397,Customer 397,Student,38,Central,Stuttgart,2015-11-22
CUST0398,Customer 398,Retail,46,South,Munich-South,2016-11-06
CUST0399,Customer 399,Premium,71,South,Augsburg,2021-03-31
CUST0400,Customer 400,Business,18,West,Cologne-City,2021-01-31
CUST0401,Customer 401,Premium,43,North,Hamburg-Mitte,2017-06-13
CUST0402,Customer 402,Business,22,Central,Stuttgart,2014-03-01
CUST0403,Customer 403,Business,59,South,Augsburg,2016-03-09
CUST0404,Customer 404,Retail,73,East,Dresden,2019-01-21
CUST0405,Customer 405,Business,21,North,Bremen-City,2020-05-16
CUST0406,Customer 406,Retail,58,East,Berlin-East,2016-08-06
CUST0407,Customer 407,Premium,61,Central,Nuremberg,2020-10-31
