account_id,customer_id,product,balance,interest_rate,open_date,status
ACC00078,CUST0040,Mortgage,205634.09,3.31,2015-06-05,Active
ACC00079,CUST0040,Investment Fund,52017.18,2.45,2015-03-12,Active
ACC00080,CUST0040,Savings Account,25535.06,1.75,2017-01-16,Active
ACC00081,CUST0041,Credit Card,57671.47,1.64,2015-05-17,Active
ACC00082,CUST0041,Savings Account,237503.03,0.12,2018-11-23,Active
ACC00083,CUST0042,Current Account,233355.77,2.83,2018-10-01,Active
ACC00084,CUST0042,Personal Loan,14903.0,4.11,2019-07-02,Dormant
ACC00085,CUST0042,Credit Card,210663.75,3.33,2017-07-23,Dormant
ACC00086,CUST0043,Credit Card,133260.24,3.16,2020-07-06,Active
ACC00087,CUST0043,Mortgage,249665.03,5.06,2016-05-29,Active
ACC00088,CUST0043,Credit Card,140966.91,2.81,2016-11-14,Active
ACC00089,CUST0044,Current Account,231881.41,4.93,2018-01-29,Active
ACC00090,CUST0044,Savings Account,54094.78,4.44,2021-10-01,Active
ACC00091,CUST0045,Investment Fund,245923.24,1.46,2018-10-14,Dormant
ACC00092,CUST0046,Savings Account,62237.3,2.27,2021-06-18,Active
ACC00093,CUST0047,Credit Card,232692.11,5.48,2021-10-12,Active
ACC00094,CUST0047,Investment Fund,186269.91,2.77,2019-07-08,Active
ACC00095,CUST0047,Investment Fund,229417.01,1.38,2018-10-18,Active
ACC00096,CUST0048,Savings Account,42171.91,4.9,2016-10-21,Active
ACC00097,CUST0048,Personal Loan,151324.46,2.98,2015-03-24,Active
ACC00098,CUST0048,Savings Account,210623.11,4.62,2017-12-13,Active
ACC00099,CUST0049,Mortgage,236386.58,4.23,2020-02-12,Active
ACC00100,CUST0049,Current Account,180125.56,4.41,2018-11-13,Active
ACC00101,CUST0050,Investment Fund,194805.11,4.53,2019-01-15,Active
ACC00102,CUST0050,Mortgage,191010.1,3.71,2016-03-19,Active
ACC00103,CUST0050,Investment Fund,177501.69,5.3,2017-10-20,Active
ACC00104,CUST0051,Personal Loan,6511.06,3.65,2018-08-30,Active
ACC00105,CUST0051,Investment Fund,238095.22,1.79,2021-10-11,Active
ACC00106,CUST0052,Mortgage,52623.06,4.7,2020-11-23,Active
ACC00107,CUST0052,Current Account,184181.42,3.88,2017-05-23,Active
ACC00108,CUST0053,Current Account,179146.81,2.89,2017-01-03,Active
ACC00109,CUST0054,Investment Fund,39780.77,0.69,2016-06-19,Active
ACC00110,CUST0054,Mortgage,205469.36,5.21,2017-12-23,Active
ACC00111,CUST0054,Personal Loan,222306.93,4.25,2015-12-01,Active
ACC00112,CUST0055,Personal Loan,227421.96,3.73,2017-06-22,Dormant
ACC00113,CUST0055,Personal Loan,66380.84,5.49,2020-01-02,Active
ACC00114,CUST0055,Credit Card,17402.14,2.03,2020-05-07,Active
ACC00115,CUST0056,Investment Fund,94354.62,2.97,2019-08-30,Active
ACC00116,CUST0057,Savings Account,65674.73,1.8,2015-05-27,Active
ACC00117,CUST0058,Current Account,170452.69,2.2,2019-09-27,Active
ACC00118,CUST0058,Savings Account,8453.14,4.78,2020-02-25,Active
ACC00119,CUST0059,Investment Fund,126192.57,2.62,2016-01-22,Active
ACC00120,CUST0059,Mortgage,135085.67,2.76,2020-05-22,Active
ACC00121,CUST0060,Personal Loan,96743.13,3.35,2020-10-25,Active
ACC00122,CUST0060,Investment Fund,237495.61,0.6,2019-09-29,Active
ACC00123,CUST0060,Current Account,228289.41,0.83,2018-08-27,Active
ACC00124,CUST0061,Current Account,154640.16,1.16,2019-01-16,Active
ACC00125,CUST0061,Current Account,192268.39,2.03,2015-11-09,Active
ACC00126,CUST0061,Credit Card,229230.3,3.22,2018-08-10,Active
ACC00127,CUST0062,Investment Fund,160303.27,0.56,2021-08-14,Active
ACC00128,CUST0062,Mortgage,228448.56,1.7,2019-10-29,Active
ACC00129,CUST0063,Personal Loan,94993.51,4.89,2020-07-30,Active
ACC00130,CUST0064,Current Account,123061.97,1.19,2016-06-12,Active
ACC00131,CUST0064,Personal Loan,138114.4,2.57,2018-11-06,Active
ACC00132,CUST0065,Credit Card,162885.48,5.4,2019-07-10,Active
ACC00133,CUST0065,Current Account,159074.42,2.71,2019-05-15,Active
ACC00134,CUST0066,Savings Account,27827.1,1.62,2021-05-22,Active
ACC00135,CUST0066,Mortgage,142569.53,1.58,2019-02-16,Active
ACC00136,CUST0066,Investment Fund,7788.99,5.22,2016-09-12,Active
ACC00137,CUST0067,Credit Card,13993.69,5.27,2017-09-18,Active
ACC00138,CUST0067,Savings Account,196011.51,2.52,2020-03-23,Active
ACC00139,CUST0068,Personal Loan,32960.68,1.73,2018-04-05,Active
ACC00140,CUST0068,Investment Fund,135001.04,0.84,2021-08-28,Active
ACC00141,CUST0069,Personal Loan,69594.02,1.05,2019-08-07,Active
ACC00142,CUST0069,Investment Fund,122907.8,0.75,2018-03-03,Active
ACC00143,CUST0069,Investment Fund,28770.37,3.66,2020-10-08,Dormant
ACC00144,CUST0070,Credit Card,133274.67,3.64,2017-03-09,Active
ACC00145,CUST0070,Current Account,113955.85,1.46,2015-09-01,Active
ACC00146,CUST0071,Personal Loan,112209.27,1.85,2015-06-02,Active
ACC00147,CUST0071,Credit Card,215182.9,3.46,2019-09-13,Active
ACC00148,CUST0071,Savings Account,2715.78,2.38,2018-01-15,Active
ACC00149,CUST0072,Current Account,219638.89,1.16,2020-06-20,Active
ACC00150,CUST0072,Current Account,71301.63,2.88,2019-06-18,Active
ACC00151,CUST0072,Savings Account,238935.62,0.23,2020-10-07,Dormant
ACC00152,CUST0073,Current Account,118527.11,1.38,2019-09-15,Active
ACC00153,CUST0074,Personal Loan,238116.51,3.04,2016-06-20,Dormant
ACC00154,CUST0074,Savings Account,244903.33,1.92,2016-10-22,Active
ACC00155,CUST0074,Personal Loan,182040.27,0.54,2018-06-29,Active
ACC00156,CUST0075,Mortgage,94768.61,1.51,2020-08-11,Active
ACC00157,CUST0075,Investment Fund,235366.04,3.12,2020-06-03,Active
ACC00158,CUST0075,Credit Card,23515.82,3.62,2017-04-26,Active
ACC00159,CUST0076,Savings Account,154354.12,0.82,2016-12-15,Active
ACC00160,CUST0076,Mortgage,110249.05,0.64,2019-10-17,Active
ACC00161,CUST0076,Mortgage,87208.38,5.33,2021-07-24,Active
ACC00162,CUST0077,Credit Card,38890.7,1.24,2015-08-12,Active
ACC00163,CUST0077,Current Account,18839.44,5.04,2018-03-28,Active
ACC00164,CUST0077,Personal Loan,179340.87,2.53,2020-10-18,Active
ACC00165,CUST0078,Mortgage,242792.73,0.14,2017-09-29,Active
ACC00166,CUST0078,Mortgage,137326.11,0.27,2015-08-19,Active
ACC00167,CUST0079,Personal Loan,148030.75,1.24,2018-09-19,Dormant
ACC00168,CUST0080,Personal Loan,9577.25,3.13,2021-01-06,Active
ACC00169,CUST0081,Investment Fund,207981.61,1.18,2021-12-09,Active
ACC00170,CUST0082,Mortgage,198332.27,3.68,2018-08-02,Active
ACC00171,CUST0083,Credit Card,215130.89,0.85,2021-12-08,Active
ACC00172,CUST0083,Mortgage,157359.89,1.91,2020-12-28,Dormant
ACC00173,CUST0084,Investment Fund,174344.81,1.16,2021-02-11,Active
ACC00174,CUST0084,Savings Account,179948.82,3.54,2020-02-14,Active
ACC00175,CUST0084,Current Account,244117.13,2.61,2019-02-21,Active
ACC00176,CUST0085,Personal Loan,170603.68,1.58,2016-02-11,Active
ACC00177,CUST0085,Credit Card,77462.75,3.76,2016-12-24,Active
ACC00178,CUST0085,Investment Fund,233328.19,4.96,2017-05-03,Dormant
ACC00179,CUST0086,Personal Loan,64846.01,0.64,2018-07-08,Active
ACC00180,CUST0086,Savings Account,89205.82,1.76,2020-07-16,Active
ACC00181,CUST0086,Mortgage,189279.21,0.46,2021-12-17,Active
ACC00182,CUST0087,Mortgage,240150.59,2.58,2016-08-15,Active
ACC00183,CUST0087,Credit Card,89153.72,4.42,2018-03-08,Active
ACC00184,CUST0088,Investment Fund,145858.68,2.46,2016-04-09,Active
ACC00185,CUST0089,Savings Account,54918.35,1.74,2015-09-01,Active
ACC00186,CUST0089,Current Account,28812.23,4.95,2020-12-10,Active
ACC00187,CUST0089,Savings Account,33934.2,2.31,2019-02-07,Active
ACC00188,CUST0090,Current Account,175781.95,0.23,2019-11-16,Active
ACC00189,CUST0090,Investment Fund,73114.32,1.78,2017-07-18,Active
ACC00190,CUST0090,Mortgage,199971.82,0.97,2019-08-07,Active
ACC00191,CUST0091,Personal Loan,110137.21,3.87,2017-04-28,Active
ACC00192,CUST0092,Current Account,4249.17,1.44,2015-12-28,Active
ACC00193,CUST0093,Mortgage,168417.78,2.67,2015-07-21,Active
ACC00194,CUST0093,Credit Card,127054.47,4.82,2021-04-19,Active
ACC00195,CUST0094,Mortgage,11180.86,3.9,2016-12-21,Active
ACC00196,CUST0094,Savings Account,152488.66,5.14,2016-03-23,Dormant
ACC00197,CUST0095,Investment Fund,147911.37,4.02,2015-07-26,Active
ACC00198,CUST0095,Credit Card,15785.65,0.43,2018-05-27,Active
ACC00199,CUST0096,Mortgage,249183.57,1.19,2020-02-05,Active
ACC00200,CUST0097,Savings Account,230103.65,4.14,2016-08-24,Active
ACC00201,CUST0097,Personal Loan,63163.47,1.01,2017-01-20,Active
ACC00202,CUST0098,Savings Account,169938.25,2.81,2018-10-11,Active
ACC00203,CUST0098,Current Account,241482.65,1.07,2019-06-05,Active
ACC00204,CUST0099,Current Account,163878.03,5.07,2017-07-24,Active
ACC00205,CUST0099,Personal Loan,23489.29,4.05,2017-01-29,Active
ACC00206,CUST0099,Savings Account,223843.5,3.57,2018-07-04,Active
ACC00207,CUST0100,Credit Card,22529.45,0.63,2016-06-29,Active
ACC00208,CUST0100,Personal Loan,145908.98,0.69,2018-01-26,Dormant
ACC00209,CUST0101,Savings Account,63395.11,4.0,2017-11-04,Active
ACC00210,CUST0101,Investment Fund,55887.36,2.98,2021-03-21,Active
ACC00211,CUST0102,Investment Fund,100160.87,2.17,2019-04-12,Active
ACC00212,CUST0102,Savings Account,42102.95,5.16,2020-09-16,Active
ACC00213,CUST0103,Credit Card,69852.84,3.82,2017-12-18,Active
ACC00214,CUST0104,Current Account,65839.47,1.5,2015-08-11,Active
ACC00215,CUST0105,Credit Card,142478.97,2.61,2017-08-17,Active
ACC00216,CUST0105,Current Account,33848.34,3.42,2020-11-21,Active
ACC00217,CUST0105,Personal Loan,223896.17,0.88,2016-08-08,Active
ACC00218,CUST0106,Personal Loan,181531.81,4.13,2017-06-16,Active
ACC00219,CUST0106,Mortgage,138913.89,0.14,2021-01-06,Active
ACC00220,CUST0106,Mortgage,22908.18,4.25,2015-08-08,Active
ACC00221,CUST0107,Mortgage,246568.44,2.9,2016-02-14,Active
ACC00222,CUST0107,Personal Loan,230568.42,3.81,2018-08-25,Active
ACC00223,CUST0108,Savings Account,11157.07,5.04,2018-10-26,Active
ACC00224,CUST0108,Current Account,14138.56,3.01,2018-06-01,Active
ACC00225,CUST0109,Mortgage,8756.19,1.54,2019-08-23,Dormant
ACC00226,CUST0109,Personal Loan,242457.68,4.01,2021-07-06,Active
ACC00227,CUST0110,Personal Loan,88903.21,2.84,2017-01-11,Dormant
ACC00228,CUST0110,Savings Account,126202.63,2.31,2021-07-24,Active
ACC00229,CUST0111,Savings Account,71300.3,5.07,2016-11-10,Active
ACC00230,CUST0111,Credit Card,85679.92,2.74,2015-09-06,Active
ACC00231,CUST0111,Savings Account,75781.1,1.88,2015-07-24,Active
ACC00232,CUST0112,Savings Account,122823.96,1.53,2018-02-14,Dormant
ACC00233,CUST0113,Mortgage,222863.23,1.42,2019-03-06,Active
ACC00234,CUST0114,Personal Loan,241498.06,1.41,2020-04-12,Active
ACC00235,CUST0115,Mortgage,93112.16,0.15,2016-04-02,Active
ACC00236,CUST0115,Mortgage,30459.65,3.02,2019-12-27,Active
ACC00237,CUST0116,Credit Card,62270.48,5.46,2017-12-13,Active
ACC00238,CUST0117,Investment Fund,119052.33,0.04,2017-06-11,Active
ACC00239,CUST0117,Current Account,18083.05,0.93,2016-02-29,Active
ACC00240,CUST0118,Investment Fund,165101.89,3.5,2017-02-17,Active
ACC00241,CUST0118,Mortgage,194491.76,3.81,2017-04-07,Active
ACC00242,CUST0119,Savings Account,68701.98,0.64,2020-10-27,Dormant
ACC00243,CUST0119,Mortgage,138070.78,2.21,2021-09-26,Active
ACC00244,CUST0120,Current Account,142047.43,4.12,2018-12-03,Active
ACC00245,CUST0120,Investment Fund,155080.4,2.41,2019-02-10,Active
ACC00246,CUST0121,Investment Fund,244409.87,4.53,2018-01-22,Active
ACC00247,CUST0121,Credit Card,140821.29,2.34,2015-05-27,Active
ACC00248,CUST0121,Mortgage,135834.18,3.01,2020-07-06,Active
ACC00249,CUST0122,Investment Fund,26512.58,5.0,2016-02-11,Active
ACC00250,CUST0122,Credit Card,54169.94,1.24,2016-12-01,Dormant
ACC00251,CUST0123,Current Account,100888.78,2.94,2019-07-30,Active
ACC00252,CUST0124,Investment Fund,14492.02,4.59,2021-04-09,Active
ACC00253,CUST0124,Credit Card,218820.03,3.61,2021-09-20,Dormant
ACC00254,CUST0125,Personal Loan,13851.55,3.15,2015-12-05,Dormant
ACC00255,CUST0125,Mortgage,166368.88,5.47,2017-08-13,Active
ACC00256,CUST0126,Investment Fund,1988.91,5.47,2017-01-24,Active
ACC00257,CUST0126,Current Account,80575.74,0.11,2017-04-02,Active
ACC00258,CUST0126,Credit Card,57835.13,4.71,2018-02-23,Active
ACC00259,CUST0127,Investment Fund,236203.24,1.66,2019-03-20,Active
ACC00260,CUST0128,Savings Account,120680.14,2.66,2019-06-03,Active
ACC00261,CUST0129,Investment Fund,234738.68,3.97,2017-09-12,Active
ACC00262,CUST0129,Mortgage,97941.3,3.44,2019-08-30,Active
ACC00263,CUST0130,Credit Card,60672.05,3.49,2018-10-03,Active
ACC00264,CUST0130,Mortgage,11316.21,0.93,2020-10-31,Dormant
ACC00265,CUST0130,Personal Loan,98782.91,3.4,2015-12-28,Active
ACC00266,CUST0131,Current Account,218627.74,1.3,2016-03-09,Active
ACC00267,CUST0131,Investment Fund,218521.93,4.95,2016-05-09,Active
ACC00268,CUST0131,Mortgage,205067.28,3.61,2018-01-27,Active
ACC00269,CUST0132,Investment Fund,152595.67,5.09,2016-09-08,Active
ACC00270,CUST0132,Investment Fund,131806.7,4.2,2017-02-13,Active
ACC00271,CUST0133,Investment Fund,199525.95,4.74,2021-12-14,Active
ACC00272,CUST0134,Investment Fund,184479.36,3.54,2016-02-11,Active
ACC00273,CUST0134,Investment Fund,203320.44,3.87,2017-05-17,Active
ACC00274,CUST0135,Investment Fund,177135.06,2.83,2015-06-16,Active
ACC00275,CUST0135,Credit Card,16773.1,1.91,2020-01-09,Active
ACC00276,CUST0136,Current Account,143439.37,1.65,2018-12-18,Active
ACC00277,CUST0137,Investment Fund,2803.77,5.39,2021-01-11,Active
ACC00278,CUST0137,Credit Card,3630.37,5.07,2020-09-23,Active
ACC00279,CUST0137,Credit Card,230345.68,4.63,2018-11-17,Active
ACC00280,CUST0138,Current Account,168365.3,0.72,2019-08-15,Active
ACC00281,CUST0138,Investment Fund,111428.91,2.51,2019-07-15,Active
ACC00282,CUST0139,Personal Loan,164520.97,5.19,2016-03-02,Active
ACC00283,CUST0139,Savings Account,233763.19,2.84,2019-02-11,Active
ACC00284,CUST0139,Savings Account,131757.32,1.0,2016-09-23,Active
ACC00285,CUST0140,Savings Account,159991.2,3.67,2015-12-17,Active
ACC00286,CUST0141,Current Account,230707.1,1.58,2016-08-16,Active
ACC00287,CUST0141,Mortgage,51254.23,2.03,2021-05-13,Active
ACC00288,CUST0141,Credit Card,241385.08,1.25,2019-10-23,Active
ACC00289,CUST0142,Mortgage,181778.38,4.75,2018-09-21,Active
ACC00290,CUST0143,Savings Account,17594.15,5.28,2018-05-09,Active
ACC00291,CUST0143,Current Account,183200.51,2.62,2021-06-17,Active
ACC00292,CUST0144,Mortgage,126021.47,0.26,2016-03-15,Dormant
ACC00293,CUST0144,Savings Account,46940.28,1.06,2017-12-16,Active
ACC00294,CUST0145,Savings Account,218740.18,5.39,2015-03-01,Active
ACC00295,CUST0146,Mortgage,143251.53,2.53,2018-04-16,Active
ACC00296,CUST0147,Mortgage,108346.2,0.88,2015-05-23,Active
ACC00297,CUST0148,Personal Loan,230105.85,2.27,2020-08-03,Active
ACC00298,CUST0148,Current Account,93009.43,1.97,2017-01-27,Active
ACC00299,CUST0148,Credit Card,200993.9,5.33,2020-09-28,Active
ACC00300,CUST0149,Mortgage,215616.01,0.95,2015-05-27,Active
ACC00301,CUST0149,Savings Account,223961.27,2.74,2019-06-17,Active
ACC00302,CUST0149,Savings Account,235450.99,4.26,2015-06-07,Active
ACC00303,CUST0150,Mortgage,132414.58,2.51,2018-07-26,Active
ACC00304,CUST0150,Current Account,113679.54,0.15,2018-01-27,Active
ACC00305,CUST0151,Mortgage,13365.36,4.34,2019-02-18,Active
ACC00306,CUST0152,Savings Account,191746.89,0.71,2016-06-18,Active
ACC00307,CUST0153,Current Account,19156.84,5.02,2019-07-26,Active
ACC00308,CUST0153,Credit Card,96581.78,1.39,2016-11-13,Active
ACC00309,CUST0153,Mortgage,51642.5,3.92,2015-08-02,Active
ACC00310,CUST0154,Savings Account,143013.36,2.83,2016-03-06,Active
ACC00311,CUST0154,Personal Loan,187885.37,3.94,2015-06-03,Dormant
ACC00312,CUST0155,Mortgage,118123.71,1.51,2019-06-06,Active
ACC00313,CUST0155,Mortgage,201544.51,2.5,2018-05-13,Active
ACC00314,CUST0156,Savings Account,90726.16,0.27,2016-04-12,Active
ACC00315,CUST0157,Credit Card,15984.99,5.43,2018-11-22,Active
ACC00316,CUST0158,Savings Account,222022.57,3.85,2015-11-26,Active
ACC00317,CUST0158,Mortgage,61293.47,2.69,2021-06-12,Active
ACC00318,CUST0158,Mortgage,203586.16,2.66,2020-05-06,Active
ACC00319,CUST0159,Current Account,171636.6,2.93,2021-12-14,Active
ACC00320,CUST0160,Investment Fund,120829.2,4.73,2018-01-17,Active
ACC00321,CUST0160,Mortgage,33742.77,2.9,2020-12-19,Active
ACC00322,CUST0160,Mortgage,45506.28,0.62,2021-02-12,Active
ACC00323,CUST0161,Current Account,27669.57,1.06,2019-02-03,Active
ACC00324,CUST0162,Personal Loan,188282.99,3.7,2017-10-11,Active
ACC00325,CUST0163,Current Account,205600.25,0.06,2015-03-03,Active
ACC00326,CUST0163,Savings Account,136430.68,2.08,2016-05-14,Active
ACC00327,CUST0163,Mortgage,122343.04,2.85,2018-04-14,Active
ACC00328,CUST0164,Savings Account,142278.35,1.42,2018-11-04,Active
ACC00329,CUST0164,Savings Account,15786.6,4.06,2019-06-12,Active
ACC00330,CUST0164,Mortgage,48687.62,1.1,2021-12-07,Active
ACC00331,CUST0165,Current Account,123374.78,2.34,2016-12-06,Active
ACC00332,CUST0165,Mortgage,147084.81,0.74,2019-04-14,Active
ACC00333,CUST0165,Investment Fund,94506.87,4.83,2021-12-02,Active
ACC00334,CUST0166,Current Account,106911.36,4.95,2019-03-12,Dormant
ACC00335,CUST0167,Savings Account,97626.13,2.18,2016-05-15,Active
ACC00336,CUST0167,Credit Card,163606.71,1.74,2020-10-08,Active
ACC00337,CUST0168,Credit Card,17051.55,1.04,2018-06-24,Active
ACC00338,CUST0169,Personal Loan,247362.16,3.64,2018-08-04,Dormant
ACC00339,CUST0170,Mortgage,130772.34,4.48,2020-08-04,Active
ACC00340,CUST0170,Credit Card,42212.15,3.34,2021-03-12,Active
ACC00341,CUST0171,Personal Loan,140249.08,5.49,2020-08-05,Active
ACC00342,CUST0171,Current Account,134913.95,4.1,2016-10-29,Active
ACC00343,CUST0171,Current Account,14951.97,4.85,2021-02-05,Active
ACC00344,CUST0172,Savings Account,225432.09,5.37,2018-11-29,Active
ACC00345,CUST0172,Savings Account,210907.46,5.3,2021-03-19,Dormant
ACC00346,CUST0173,Personal Loan,209528.4,3.72,2016-12-06,Active
ACC00347,CUST0173,Savings Account,232664.38,3.82,2015-08-11,Active
ACC00348,CUST0174,Current Account,70645.25,3.01,2019-08-31,Active
ACC00349,CUST0174,Savings Account,62368.14,0.44,2017-10-16,Active
ACC00350,CUST0174,Savings Account,15376.68,1.87,2020-12-09,Active
ACC00351,CUST0175,Personal Loan,200285.33,1.59,2018-08-11,Active
ACC00352,CUST0175,Credit Card,87013.39,3.22,2020-07-16,Active
ACC00353,CUST0175,Current Account,126385.72,0.56,2015-08-13,Active
ACC00354,CUST0176,Investment Fund,230862.3,1.23,2019-04-03,Active
ACC00355,CUST0176,Mortgage,42872.28,3.92,2021-03-08,Active
ACC00356,CUST0176,Current Account,5398.35,2.64,2017-11-19,Active
ACC00357,CUST0177,Current Account,103037.04,1.44,2018-03-27,Dormant
ACC00358,CUST0177,Personal Loan,149676.24,3.54,2019-03-05,Dormant
ACC00359,CUST0178,Investment Fund,247567.47,3.65,2017-05-29,Active
ACC00360,CUST0178,Credit Card,180998.44,0.76,2018-06-07,Active
ACC00361,CUST0179,Mortgage,244133.28,0.83,2015-05-28,Active
ACC00362,CUST0179,Investment Fund,217353.29,1.52,2019-02-25,Active
ACC00363,CUST0180,Credit Card,209380.56,2.49,2021-11-25,Active
ACC00364,CUST0180,Investment Fund,32089.49,3.54,2020-06-01,Active
ACC00365,CUST0180,Mortgage,212971.67,0.6,2018-07-15,Active
ACC00366,CUST0181,Credit Card,73337.51,5.41,2017-04-19,Active
ACC00367,CUST0181,Current Account,121624.33,4.45,2021-02-23,Active
ACC00368,CUST0182,Current Account,209975.39,1.54,2015-12-24,Active
ACC00369,CUST0182,Mortgage,197488.02,4.67,2021-04-24,Active
ACC00370,CUST0183,Mortgage,185421.56,3.28,2017-08-31,Active
ACC00371,CUST0184,Investment Fund,126541.26,3.3,2021-06-15,Active
ACC00372,CUST0185,Credit Card,73458.56,3.67,2020-04-28,Active
ACC00373,CUST0185,Investment Fund,93715.8,2.14,2018-08-04,Active
