customer_id,segment,age,age_group,region,branch,join_date,tenure_days,tenure_band
CUST0023,Business,72,60+,North,Hamburg-Mitte,2014-04-25,3538,Loyal (3yr+)
CUST0024,Business,50,41-60,North,Hamburg-Mitte,2015-05-10,3158,Loyal (3yr+)
CUST0025,Premium,39,26-40,North,Hamburg-Nord,2017-06-12,2394,Loyal (3yr+)
CUST0026,Student,70,60+,East,Berlin-East,2017-04-11,2456,Loyal (3yr+)
CUST0027,Retail,52,41-60,East,Berlin-Mitte,2021-07-02,913,Growing (1-3yr)
CUST0028,Student,64,60+,East,Berlin-East,2019-05-05,1702,Loyal (3yr+)
CUST0029,Premium,72,60+,East,Dresden,2013-11-06,3708,Loyal (3yr+)
CUST0030,Business,24,18-25,East,Berlin-Mitte,2013-12-10,3674,Loyal (3yr+)
CUST0031,Business,42,41-60,South,Munich-South,2021-01-08,1088,Growing (1-3yr)
CUST0032,Business,44,41-60,West,Cologne-City,2016-04-12,2820,Loyal (3yr+)
CUST0033,Business,61,60+,East,Berlin-East,2015-12-10,2944,Loyal (3yr+)
CUST0034,Business,75,60+,South,Munich-South,2018-08-29,1951,Loyal (3yr+)
CUST0035,Premium,60,41-60,West,Dusseldorf,2017-09-02,2312,Loyal (3yr+)
CUST0036,Student,73,60+,Central,Stuttgart,2017-08-30,2315,Loyal (3yr+)
CUST0037,Premium,74,60+,East,Berlin-East,2021-11-15,777,Growing (1-3yr)
CUST0038,Business,62,60+,East,Berlin-Mitte,2014-06-19,3483,Loyal (3yr+)
CUST0039,Business,68,60+,South,Augsburg,2017-04-01,2466,Loyal (3yr+)
CUST0040,Business,44,41-60,South,Augsburg,2017-06-09,2397,Loyal (3yr+)
CUST0041,Premium,25,18-25,North,Hamburg-Mitte,2016-01-25,2898,Loyal (3yr+)
CUST0042,Premium,61,60+,East,Dresden,2016-12-09,2579,Loyal (3yr+)
CUST0043,Student,34,26-40,South,Munich-South,2015-08-21,3055,Loyal (3yr+)
CUST0044,Business,58,41-60,Central,Stuttgart,2021-09-09,844,Growing (1-3yr)
CUST0045,Business,69,60+,North,Hamburg-Mitte,2015-05-31,3137,Loyal (3yr+)
CUST0046,Student,21,18-25,North,Hamburg-Nord,2017-10-12,2272,Loyal (3yr+)
CUST0047,Business,58,41-60,Central,Stuttgart,2020-10-18,1170,Loyal (3yr+)
CUST0048,Premium,43,41-60,West,Dusseldorf,2016-10-02,2647,Loyal (3yr+)
CUST0049,Premium,26,26-40,East,Berlin-East,2014-02-17,3605,Loyal (3yr+)
CUST0050,Premium,44,41-60,West,Dusseldorf,2019-02-12,1784,Loyal (3yr+)
CUST0051,Student,35,26-40,South,Augsburg,2014-01-27,3626,Loyal (3yr+)
CUST0052,Student,29,26-40,West,Frankfurt,2014-11-26,3323,Loyal (3yr+)
CUST0053,Premium,60,41-60,West,Cologne-City,2015-12-17,2937,Loyal (3yr+)
CUST0054,Retail,47,41-60,South,Munich-Mitte,2018-03-23,2110,Loyal (3yr+)
CUST0055,Business,22,18-25,West,Frankfurt,2021-11-16,776,Growing (1-3yr)
CUST0056,Business,61,60+,Central,Mannheim,2021-10-14,809,Growing (1-3yr)
CUST0057,Student,38,26-40,Central,Nuremberg,2020-01-23,1439,Loyal (3yr+)
CUST0058,Retail,55,41-60,South,Munich-South,2021-07-07,908,Growing (1-3yr)
CUST0059,Premium,39,26-40,North,Bremen-City,2018-08-24,1956,Loyal (3yr+)
CUST0060,Student,71,60+,South,Munich-Mitte,2014-02-14,3608,Loyal (3yr+)
CUST0061,Premium,32,26-40,West,Cologne-City,2016-06-26,2745,Loyal (3yr+)
CUST0062,Business,35,26-40,South,Augsburg,2017-10-29,2255,Loyal (3yr+)
CUST0063,Premium,53,41-60,North,Bremen-City,2019-12-22,1471,Loyal (3yr+)
CUST0064,Retail,59,41-60,East,Dresden,2014-04-27,3536,Loyal (3yr+)
CUST0065,Premium,64,60+,North,Hamburg-Mitte,2020-03-27,1375,Loyal (3yr+)
CUST0066,Retail,23,18-25,Central,Mannheim,2014-09-02,3408,Loyal (3yr+)
CUST0067,Business,28,26-40,West,Frankfurt,2019-04-29,1708,Loyal (3yr+)
CUST0068,Premium,56,41-60,Central,Nuremberg,2021-04-30,976,Growing (1-3yr)
CUST0069,Student,69,60+,East,Berlin-Mitte,2018-06-22,2019,Loyal (3yr+)
CUST0070,Retail,65,60+,South,Munich-Mitte,2016-05-09,2793,Loyal (3yr+)
CUST0071,Retail,64,60+,Central,Stuttgart,2017-09-11,2303,Loyal (3yr+)
CUST0072,Premium,68,60+,North,Bremen-City,2016-12-10,2578,Loyal (3yr+)
CUST0073,Retail,73,60+,Central,Stuttgart,2020-01-21,1441,Loyal (3yr+)
CUST0074,Business,41,41-60,West,Dusseldorf,2015-04-25,3173,Loyal (3yr+)
CUST0075,Student,55,41-60,North,Hamburg-Mitte,2018-07-20,1991,Loyal (3yr+)
CUST0076,Retail,26,26-40,South,Munich-South,2015-09-08,3037,Loyal (3yr+)
CUST0077,Retail,36,26-40,East,Berlin-East,2017-02-15,2511,Loyal (3yr+)
CUST0078,Business,20,18-25,North,Hamburg-Mitte,2015-02-13,3244,Loyal (3yr+)
CUST0079,Business,72,60+,East,Dresden,2018-04-03,2099,Loyal (3yr+)
CUST0080,Business,42,41-60,North,Bremen-City,2019-05-19,1688,Loyal (3yr+)
CUST0081,Retail,27,26-40,Central,Nuremberg,2017-06-10,2396,Loyal (3yr+)
CUST0082,Premium,50,41-60,West,Cologne-City,2016-01-17,2906,Loyal (3yr+)
CUST0083,Premium,21,18-25,West,Cologne-City,2014-08-28,3413,Loyal (3yr+)
CUST0084,Retail,28,26-40,East,Berlin-East,2021-11-15,777,Growing (1-3yr)
CUST0085,Premium,19,18-25,Central,Stuttgart,2019-11-27,1496,Loyal (3yr+)
CUST0086,Business,21,18-25,East,Berlin-Mitte,2015-06-03,3134,Loyal (3yr+)
CUST0087,Retail,27,26-40,West,Frankfurt,2021-07-10,905,Growing (1-3yr)
CUST0088,Student,43,41-60,Central,Stuttgart,2020-01-24,1438,Loyal (3yr+)
CUST0089,Business,32,26-40,Central,Nuremberg,2020-06-09,1301,Loyal (3yr+)
CUST0090,Retail,57,41-60,West,Dusseldorf,2016-04-16,2816,Loyal (3yr+)
CUST0091,Student,32,26-40,South,Munich-Mitte,2013-11-24,3690,Loyal (3yr+)
CUST0092,Premium,45,41-60,North,Hamburg-Mitte,2020-05-30,1311,Loyal (3yr+)
CUST0093,Premium,65,60+,West,Cologne-City,2014-03-23,3571,Loyal (3yr+)
CUST0094,Retail,28,26-40,East,Berlin-Mitte,2019-03-23,1745,Loyal (3yr+)
CUST0095,Student,32,26-40,Central,Nuremberg,2016-01-16,2907,Loyal (3yr+)
CUST0096,Premium,22,18-25,Central,Nuremberg,2018-04-15,2087,Loyal (3yr+)
CUST0097,Student,39,26-40,Central,Stuttgart,2020-10-31,1157,Loyal (3yr+)
CUST0098,Student,20,18-25,North,Hamburg-Mitte,2018-05-21,2051,Loyal (3yr+)
CUST0099,Business,21,18-25,South,Munich-Mitte,2018-11-30,1858,Loyal (3yr+)
CUST0100,Business,18,18-25,East,Berlin-Mitte,2017-10-31,2253,Loyal (3yr+)
CUST0101,Business,28,26-40,North,Hamburg-Nord,2020-04-29,1342,Loyal (3yr+)
CUST0102,Business,51,41-60,East,Berlin-Mitte,2016-11-05,2613,Loyal (3yr+)
CUST0103,Business,19,18-25,North,Hamburg-Mitte,2020-05-03,1338,Loyal (3yr+)
CUST0104,Student,23,18-25,Central,Stuttgart,2017-11-24,2229,Loyal (3yr+)
CUST0105,Student,74,60+,East,Berlin-Mitte,2015-11-20,2964,Loyal (3yr+)
CUST0106,Retail,67,60+,South,Munich-Mitte,2021-08-06,878,Growing (1-3yr)
CUST0107,Premium,31,26-40,South,Munich-South,2014-12-17,3302,Loyal (3yr+)
CUST0108,Retail,66,60+,East,Dresden,2021-11-29,763,Growing (1-3yr)
CUST0109,Student,25,18-25,West,Cologne-City,2014-03-01,3593,Loyal (3yr+)
CUST0110,Student,49,41-60,East,Dresden,2017-09-15,2299,Loyal (3yr+)
CUST0111,Business,75,60+,Central,Nuremberg,2013-12-08,3676,Loyal (3yr+)
CUST0112,Retail,69,60+,East,Berlin-East,2015-12-19,2935,Loyal (3yr+)
CUST0113,Retail,22,18-25,South,Munich-Mitte,2018-12-05,1853,Loyal (3yr+)
CUST0114,Retail,57,41-60,East,Berlin-East,2018-06-25,2016,Loyal (3yr+)
CUST0115,Premium,57,41-60,Central,Stuttgart,2016-12-17,2571,Loyal (3yr+)
CUST0116,Retail,51,41-60,West,Frankfurt,2018-12-26,1832,Loyal (3yr+)
CUST0117,Student,67,60+,North,Hamburg-Mitte,2021-09-21,832,Growing (1-3yr)
CUST0118,Student,49,41-60,East,Berlin-East,2018-04-28,2074,Loyal (3yr+)
CUST0119,Retail,33,26-40,Central,Nuremberg,2017-06-15,2391,Loyal (3yr+)
CUST0120,Business,22,18-25,South,Munich-South,2016-06-04,2767,Loyal (3yr+)
CUST0121,Retail,56,41-60,East,Dresden,2021-09-12,841,Growing (1-3yr)
CUST0122,Retail,54,41-60,North,Bremen-City,2020-06-19,1291,Loyal (3yr+)
CUST0123,Student,30,26-40,West,Frankfurt,2014-07-19,3453,Loyal (3yr+)
CUST0124,Retail,55,41-60,Central,Stuttgart,2020-07-23,1257,Loyal (3yr+)
CUST0125,Premium,31,26-40,East,Dresden,2014-09-28,3382,Loyal (3yr+)
CUST0126,Student,18,18-25,North,Hamburg-Nord,2019-11-13,1510,Loyal (3yr+)
CUST0127,Business,70,60+,South,Munich-Mitte,2014-01-03,3650,Loyal (3yr+)
CUST0128,Business,24,18-25,West,Cologne-City,2017-03-24,2474,Loyal (3yr+)
CUST0129,Retail,58,41-60,West,Cologne-City,2018-11-27,1861,Loyal (3yr+)
CUST0130,Business,37,26-40,Central,Mannheim,2020-02-23,1408,Loyal (3yr+)
CUST0131,Retail,64,60+,East,Berlin-Mitte,2015-02-20,3237,Loyal (3yr+)
CUST0132,Student,34,26-40,North,Hamburg-Nord,2020-06-24,1286,Loyal (3yr+)
CUST0133,Student,56,41-60,East,Berlin-Mitte,2016-04-18,2814,Loyal (3yr+)
CUST0134,Student,71,60+,East,Berlin-East,2016-04-24,2808,Loyal (3yr+)
CUST0135,Premium,58,41-60,East,Berlin-East,2018-09-29,1920,Loyal (3yr+)
CUST0136,Business,30,26-40,South,Augsburg,2020-06-23,1287,Loyal (3yr+)
CUST0137,Business,32,26-40,Central,Mannheim,2016-02-19,2873,Loyal (3yr+)
CUST0138,Student,32,26-40,North,Hamburg-Mitte,2015-07-01,3106,Loyal (3yr+)
CUST0139,Student,39,26-40,North,Bremen-City,2020-12-30,1097,Loyal (3yr+)
CUST0140,Retail,45,41-60,North,Hamburg-Nord,2016-10-14,2635,Loyal (3yr+)
CUST0141,Retail,23,18-25,North,Hamburg-Mitte,2020-12-07,1120,Loyal (3yr+)
CUST0142,Premium,37,26-40,South,Munich-Mitte,2020-04-11,1360,Loyal (3yr+)
CUST0143,Business,63,60+,East,Berlin-Mitte,2015-09-12,3033,Loyal (3yr+)
CUST0144,Retail,23,18-25,South,Munich-South,2021-08-22,862,Growing (1-3yr)
CUST0145,Student,37,26-40,South,Munich-South,2016-04-08,2824,Loyal (3yr+)
CUST0146,Business,46,41-60,North,Hamburg-Nord,2015-11-03,2981,Loyal (3yr+)
CUST0147,Premium,40,26-40,Central,Nuremberg,2020-06-15,1295,Loyal (3yr+)
CUST0148,Business,62,60+,North,Bremen-City,2015-09-19,3026,Loyal (3yr+)
CUST0149,Premium,72,60+,South,Augsburg,2016-01-21,2902,Loyal (3yr+)
CUST0150,Student,45,41-60,Central,Stuttgart,2015-02-25,3232,Loyal (3yr+)
CUST0151,Premium,53,41-60,East,Dresden,2016-02-11,2881,Loyal (3yr+)
CUST0152,Retail,37,26-40,Central,Stuttgart,2015-02-16,3241,Loyal (3yr+)
CUST0153,Premium,40,26-40,Central,Stuttgart,2017-01-11,2546,Loyal (3yr+)
CUST0154,Business,22,18-25,North,Bremen-City,2015-08-31,3045,Loyal (3yr+)
CUST0155,Business,71,60+,East,Berlin-Mitte,2015-09-18,3027,Loyal (3yr+)
CUST0156,Retail,62,60+,East,Dresden,2015-10-06,3009,Loyal (3yr+)
CUST0157,Business,20,18-25,East,Berlin-East,2019-09-11,1573,Loyal (3yr+)
CUST0158,Premium,20,18-25,South,Augsburg,2020-11-19,1138,Loyal (3yr+)
CUST0159,Student,43,41-60,West,Frankfurt,2015-10-24,2991,Loyal (3yr+)
CUST0160,Student,41,41-60,West,Dusseldorf,2020-09-28,1190,Loyal (3yr+)
CUST0161,Business,67,60+,South,Munich-Mitte,2021-03-19,1018,Growing (1-3yr)
CUST0162,Retail,61,60+,East,Berlin-Mitte,2017-10-18,2266,Loyal (3yr+)
CUST0163,Premium,38,26-40,West,Frankfurt,2020-07-12,1268,Loyal (3yr+)
CUST0164,Business,60,41-60,Central,Nuremberg,2017-05-07,2430,Loyal (3yr+)
CUST0165,Premium,26,26-40,South,Munich-South,2014-01-20,3633,Loyal (3yr+)
CUST0166,Business,53,41-60,North,Hamburg-Mitte,2019-02-25,1771,Loyal (3yr+)
CUST0167,Premium,51,41-60,West,Dusseldorf,2018-07-09,2002,Loyal (3yr+)
CUST0168,Student,65,60+,West,Cologne-City,2018-01-17,2175,Loyal (3yr+)
CUST0169,Student,75,60+,North,Hamburg-Mitte,2016-07-23,2718,Loyal (3yr+)
CUST0170,Business,49,41-60,North,Hamburg-Mitte,2016-03-25,2838,Loyal (3yr+)
CUST0171,Student,26,26-40,North,Hamburg-Mitte,2017-12-09,2214,Loyal (3yr+)
CUST0172,Business,26,26-40,Central,Mannheim,2015-12-01,2953,Loyal (3yr+)
CUST0173,Retail,22,18-25,North,Hamburg-Mitte,2013-10-19,3726,Loyal (3yr+)
CUST0174,Premium,46,41-60,North,Bremen-City,2016-01-14,2909,Loyal (3yr+)
CUST0175,Retail,49,41-60,West,Cologne-City,2021-06-03,942,Growing (1-3yr)
CUST0176,Premium,32,26-40,Central,Mannheim,2017-01-30,2527,Loyal (3yr+)
CUST0177,Premium,74,60+,South,Augsburg,2016-10-15,2634,Loyal (3yr+)
CUST0178,Retail,71,60+,East,Dresden,2021-07-22,893,Growing (1-3yr)
CUST0179,Retail,21,18-25,East,Dresden,2019-02-16,1780,Loyal (3yr+)
CUST0180,Business,43,41-60,Central,Nuremberg,2020-05-24,1317,Loyal (3yr+)
CUST0181,Business,54,41-60,East,Dresden,2020-03-30,1372,Loyal (3yr+)
CUST0182,Business,68,60+,North,Bremen-City,2017-09-27,2287,Loyal (3yr+)
CUST0183,Premium,71,60+,Central,Mannheim,2017-04-08,2459,Loyal (3yr+)
CUST0184,Business,29,26-40,East,Berlin-East,2021-01-11,1085,Growing (1-3yr)
CUST0185,Student,63,60+,West,Frankfurt,2019-01-01,1826,Loyal (3yr+)
CUST0186,Student,37,26-40,Central,Stuttgart,2015-09-05,3040,Loyal (3yr+)
CUST0187,Retail,67,60+,South,Augsburg,2019-02-12,1784,Loyal (3yr+)
CUST0188,Retail,29,26-40,South,Munich-Mitte,2015-12-29,2925,Loyal (3yr+)
CUST0189,Business,37,26-40,South,Munich-South,2017-07-05,2371,Loyal (3yr+)
CUST0190,Premium,43,41-60,East,Berlin-East,2017-09-20,2294,Loyal (3yr+)
CUST0191,Premium,18,18-25,South,Augsburg,2016-09-20,2659,Loyal (3yr+)
CUST0192,Student,35,26-40,West,Frankfurt,2018-05-08,2064,Loyal (3yr+)
CUST0193,Premium,38,26-40,South,Augsburg,2015-01-01,3287,Loyal (3yr+)
CUST0194,Student,50,41-60,North,Bremen-City,2014-06-06,3496,Loyal (3yr+)
CUST0195,Student,27,26-40,Central,Stuttgart,2016-04-24,2808,Loyal (3yr+)
CUST0196,Student,68,60+,North,Hamburg-Nord,2017-03-04,2494,Loyal (3yr+)
CUST0197,Business,38,26-40,Central,Stuttgart,2014-01-10,3643,Loyal (3yr+)
CUST0198,Premium,23,18-25,North,Bremen-City,2019-02-23,1773,Loyal (3yr+)
CUST0199,Premium,28,26-40,West,Frankfurt,2017-05-08,2429,Loyal (3yr+)
CUST0200,Retail,39,26-40,South,Munich-Mitte,2021-04-03,1003,Growing (1-3yr)
CUST0201,Student,23,18-25,North,Hamburg-Nord,2019-07-05,1641,Loyal (3yr+)
CUST0202,Business,46,41-60,East,Dresden,2021-11-04,788,Growing (1-3yr)
CUST0203,Student,59,41-60,South,Augsburg,2014-09-12,3398,Loyal (3yr+)
CUST0204,Business,38,26-40,West,Frankfurt,2020-01-12,1450,Loyal (3yr+)
CUST0205,Student,27,26-40,Central,Mannheim,2017-09-21,2293,Loyal (3yr+)
CUST0206,Student,48,41-60,South,Munich-South,2019-11-13,1510,Loyal (3yr+)
CUST0207,Student,61,60+,West,Frankfurt,2015-03-29,3200,Loyal (3yr+)
CUST0208,Student,52,41-60,East,Dresden,2016-09-19,2660,Loyal (3yr+)
CUST0209,Retail,48,41-60,North,Bremen-City,2016-10-28,2621,Loyal (3yr+)
CUST0210,Business,25,18-25,South,Munich-South,2021-10-16,807,Growing (1-3yr)
CUST0211,Business,45,41-60,West,Cologne-City,2019-09-24,1560,Loyal (3yr+)
CUST0212,Retail,74,60+,South,Augsburg,2017-02-07,2519,Loyal (3yr+)
CUST0213,Retail,66,60+,Central,Stuttgart,2020-07-03,1277,Loyal (3yr+)
CUST0214,Premium,65,60+,Central,Stuttgart,2019-06-13,1663,Loyal (3yr+)
CUST0215,Business,19,18-25,East,Dresden,2021-03-31,1006,Growing (1-3yr)
CUST0216,Premium,67,60+,North,Hamburg-Mitte,2019-10-06,1548,Loyal (3yr+)
CUST0217,Premium,56,41-60,South,Munich-Mitte,2016-02-15,2877,Loyal (3yr+)
CUST0218,Student,29,26-40,North,Hamburg-Nord,2016-07-31,2710,Loyal (3yr+)
CUST0219,Business,71,60+,East,Berlin-East,2018-02-18,2143,Loyal (3yr+)
CUST0220,Retail,36,26-40,South,Augsburg,2016-11-08,2610,Loyal (3yr+)
CUST0221,Retail,28,26-40,North,Hamburg-Mitte,2017-06-08,2398,Loyal (3yr+)
CUST0222,Business,67,60+,East,Berlin-East,2019-11-01,1522,Loyal (3yr+)
CUST0223,Business,39,26-40,West,Frankfurt,2016-07-15,2726,Loyal (3yr+)
CUST0224,Student,18,18-25,West,Cologne-City,2019-01-23,1804,Loyal (3yr+)
CUST0225,Retail,56,41-60,Central,Nuremberg,2020-09-16,1202,Loyal (3yr+)
CUST0226,Business,45,41-60,North,Bremen-City,2014-01-07,3646,Loyal (3yr+)
CUST0227,Business,29,26-40,North,Hamburg-Nord,2017-10-28,2256,Loyal (3yr+)
CUST0228,Business,39,26-40,Central,Nuremberg,2018-12-12,1846,Loyal (3yr+)
CUST0229,Premium,28,26-40,West,Frankfurt,2018-06-17,2024,Loyal (3yr+)
CUST0230,Retail,23,18-25,Central,Mannheim,2016-07-08,2733,Loyal (3yr+)
CUST0231,Retail,68,60+,North,Bremen-City,2019-08-27,1588,Loyal (3yr+)
CUST0232,Student,40,26-40,North,Hamburg-Nord,2019-06-12,1664,Loyal (3yr+)
CUST0233,Premium,21,18-25,South,Augsburg,2019-02-08,1788,Loyal (3yr+)
CUST0234,Premium,43,41-60,Central,Mannheim,2021-11-03,789,Growing (1-3yr)
CUST0235,Premium,38,26-40,East,Berlin-East,2018-11-28,1860,Loyal (3yr+)
CUST0236,Premium,65,60+,West,Cologne-City,2013-12-16,3668,Loyal (3yr+)
CUST0237,Retail,68,60+,Central,Mannheim,2021-03-24,1013,Growing (1-3yr)
CUST0238,Business,20,18-25,South,Munich-South,2016-08-28,2682,Loyal (3yr+)
CUST0239,Premium,21,18-25,South,Munich-South,2014-08-15,3426,Loyal (3yr+)
CUST0240,Business,55,41-60,East,Berlin-Mitte,2018-05-22,2050,Loyal (3yr+)
CUST0241,Premium,21,18-25,South,Munich-South,2017-01-30,2527,Loyal (3yr+)
CUST0242,Retail,70,60+,North,Bremen-City,2019-12-13,1480,Loyal (3yr+)
CUST0243,Premium,58,41-60,North,Hamburg-Nord,2016-06-06,2765,Loyal (3yr+)
CUST0244,Premium,41,41-60,West,Frankfurt,2019-04-24,1713,Loyal (3yr+)
CUST0245,Student,45,41-60,South,Munich-South,2017-04-02,2465,Loyal (3yr+)
CUST0246,Premium,46,41-60,South,Munich-South,2016-02-08,2884,Loyal (3yr+)
CUST0247,Premium,63,60+,North,Hamburg-Nord,2016-09-06,2673,Loyal (3yr+)
CUST0248,Retail,24,18-25,South,Munich-Mitte,2021-07-27,888,Growing (1-3yr)
CUST0249,Student,35,26-40,South,Munich-Mitte,2021-02-16,1049,Growing (1-3yr)
CUST0250,Retail,28,26-40,North,Hamburg-Mitte,2020-12-09,1118,Loyal (3yr+)
CUST0251,Retail,22,18-25,North,Hamburg-Mitte,2021-09-16,837,Growing (1-3yr)
CUST0252,Business,69,60+,East,Berlin-East,2019-12-20,1473,Loyal (3yr+)
CUST0253,Retail,42,41-60,West,Dusseldorf,2019-11-27,1496,Loyal (3yr+)
CUST0254,Student,30,26-40,West,Dusseldorf,2021-01-24,1072,Growing (1-3yr)
CUST0255,Business,29,26-40,East,Dresden,2018-06-23,2018,Loyal (3yr+)
CUST0256,Premium,20,18-25,Central,Mannheim,2019-09-03,1581,Loyal (3yr+)
CUST0257,Business,50,41-60,North,Bremen-City,2014-08-12,3429,Loyal (3yr+)
CUST0258,Student,57,41-60,South,Munich-Mitte,2018-11-23,1865,Loyal (3yr+)
CUST0259,Premium,44,41-60,Central,Stuttgart,2021-07-17,898,Growing (1-3yr)
CUST0260,Retail,48,41-60,South,Munich-Mitte,2019-08-29,1586,Loyal (3yr+)
CUST0261,Student,28,26-40,South,Munich-Mitte,2015-04-30,3168,Loyal (3yr+)
CUST0262,Premium,23,18-25,East,Berlin-Mitte,2016-02-13,2879,Loyal (3yr+)
CUST0263,Student,19,18-25,Central,Mannheim,2015-02-06,3251,Loyal (3yr+)
CUST0264,Business,57,41-60,West,Frankfurt,2015-06-13,3124,Loyal (3yr+)
CUST0265,Student,51,41-60,East,Berlin-Mitte,2015-08-24,3052,Loyal (3yr+)
CUST0266,Business,52,41-60,West,Dusseldorf,2019-03-05,1763,Loyal (3yr+)
CUST0267,Retail,56,41-60,Central,Stuttgart,2021-02-26,1039,Growing (1-3yr)
CUST0268,Premium,28,26-40,North,Bremen-City,2020-07-07,1273,Loyal (3yr+)
CUST0269,Student,55,41-60,Central,Mannheim,2018-08-28,1952,Loyal (3yr+)
CUST0270,Student,36,26-40,North,Hamburg-Mitte,2014-05-25,3508,Loyal (3yr+)
CUST0271,Retail,74,60+,East,Berlin-Mitte,2015-03-11,3218,Loyal (3yr+)
CUST0272,Business,66,60+,South,Munich-South,2020-06-07,1303,Loyal (3yr+)
CUST0273,Student,58,41-60,South,Munich-South,2015-07-18,3089,Loyal (3yr+)
CUST0274,Business,28,26-40,West,Dusseldorf,2014-05-15,3518,Loyal (3yr+)
CUST0275,Business,31,26-40,South,Munich-South,2019-06-07,1669,Loyal (3yr+)
CUST0276,Retail,50,41-60,Central,Mannheim,2016-07-05,2736,Loyal (3yr+)
CUST0277,Student,26,26-40,Central,Nuremberg,2014-08-27,3414,Loyal (3yr+)
CUST0278,Premium,47,41-60,East,Berlin-Mitte,2014-12-10,3309,Loyal (3yr+)
CUST0279,Retail,66,60+,East,Dresden,2016-10-08,2641,Loyal (3yr+)
CUST0280,Business,19,18-25,East,Berlin-Mitte,2017-09-03,2311,Loyal (3yr+)
CUST0281,Business,57,41-60,South,Augsburg,2020-11-28,1129,Loyal (3yr+)
CUST0282,Premium,42,41-60,South,Augsburg,2017-10-01,2283,Loyal (3yr+)
CUST0283,Retail,27,26-40,South,Augsburg,2020-10-07,1181,Loyal (3yr+)
CUST0284,Student,24,18-25,West,Dusseldorf,2014-06-19,3483,Loyal (3yr+)
CUST0285,Student,43,41-60,Central,Stuttgart,2015-01-20,3268,Loyal (3yr+)
CUST0286,Business,47,41-60,North,Hamburg-Mitte,2018-01-20,2172,Loyal (3yr+)
CUST0287,Retail,24,18-25,East,Dresden,2020-08-01,1248,Loyal (3yr+)
CUST0288,Premium,65,60+,South,Augsburg,2018-09-24,1925,Loyal (3yr+)
CUST0289,Premium,31,26-40,Central,Mannheim,2016-07-27,2714,Loyal (3yr+)
CUST0290,Premium,37,26-40,North,Hamburg-Nord,2014-06-02,3500,Loyal (3yr+)
CUST0291,Business,71,60+,West,Frankfurt,2021-04-13,993,Growing (1-3yr)
CUST0292,Retail,31,26-40,South,Munich-Mitte,2017-08-23,2322,Loyal (3yr+)
CUST0293,Student,52,41-60,South,Augsburg,2014-12-05,3314,Loyal (3yr+)
CUST0294,Student,31,26-40,South,Munich-South,2020-09-23,1195,Loyal (3yr+)
CUST0295,Retail,74,60+,North,Hamburg-Nord,2016-06-12,2759,Loyal (3yr+)
CUST0296,Retail,32,26-40,South,Munich-Mitte,2017-06-11,2395,Loyal (3yr+)
CUST0297,Business,50,41-60,South,Munich-South,2019-09-09,1575,Loyal (3yr+)
CUST0298,Business,68,60+,Central,Mannheim,2017-01-29,2528,Loyal (3yr+)
CUST0299,Business,56,41-60,Central,Mannheim,2020-01-03,1459,Loyal (3yr+)
CUST0300,Premium,26,26-40,West,Cologne-City,2017-05-06,2431,Loyal (3yr+)
CUST0301,Business,48,41-60,West,Dusseldorf,2014-02-18,3604,Loyal (3yr+)
CUST0302,Retail,40,26-40,West,Frankfurt,2016-02-24,2868,Loyal (3yr+)
CUST0303,Student,31,26-40,North,Bremen-City,2014-04-27,3536,Loyal (3yr+)
